seed,alpha,rms_gospa,rms_missed,rms_false,final_birth_atoms,spurious_birth_atoms,birth_region_error
31,2.0,7.293947671693653,6.922186552431729,2.165063509461097,4,1,17.055723676427004
31,5.0,6.271271997201831,5.543389456520863,2.7950849718747373,6,2,4.184350247611323
31,10.0,5.369451543423691,4.330127018922194,2.9755951785595207,11,1,0.7847833503578727
31,20.0,5.570138022405039,4.389855730355308,3.227486121839514,13,1,0.825077597297945
32,1.0,7.425699016389084,7.216878364870322,1.613743060919757,2,0,5.394286667175492
32,2.0,7.425699016389084,7.216878364870322,1.613743060919757,2,0,5.394286667175492
32,5.0,6.221322568439075,5.5901699437494745,2.6020824993326657,6,1,2.8632082994936803
32,10.0,5.5090508920488155,4.5069390943299865,3.0618621784789726,9,1,2.147443005999653
32,20.0,5.279768145531762,3.952847075210474,3.38501600193165,13,0,1.5362739593509573
33,1.0,7.366213466805326,7.0710678118654755,1.9094065395649333,2,0,16.291193287228044
33,2.0,7.1928171970872485,6.808389432653413,2.165063509461097,3,0,7.962873504668604
33,5.0,4.616115889132042,3.679900360969936,2.6020824993326657,4,0,2.4398629005636856
33,10.0,4.5936507481716236,3.5355339059327378,2.7950849718747373,7,0,2.199634911491627
33,20.0,4.805129200200486,3.4610932762158644,3.227486121839514,9,0,2.181690704381198
34,1.0,7.25920598647712,7.034142923389221,1.613743060919757,1,0,25.50587635368939
34,2.0,5.035405317022116,4.448782605013046,2.165063509461097,2,0,2.9660170544818576
34,5.0,4.48380601749641,3.679900360969936,2.3935677693908453,4,0,1.9816355154337262
34,10.0,4.407303322917714,3.5355339059327378,2.5,6,0,1.4142660035101606
34,20.0,4.914712765729238,3.75,3.0618621784789726,12,0,1.784246980419741
35,1.0,6.940150033392569,6.73145600891813,1.613743060919757,1,0,25.522119139968687
35,2.0,6.940150033392569,6.73145600891813,1.613743060919757,1,0,25.522119139968687
35,5.0,4.461460198492966,3.5355339059327378,2.6020824993326657,7,0,0.7418163138730083
35,10.0,4.3265036817992995,3.1457643480294792,2.886751345948129,8,0,0.6043682303955142
35,20.0,4.44525598534995,3.1457643480294792,3.0618621784789726,10,0,0.6043682303955142
36,1.0,6.945018244742245,6.692657668420421,1.7677669529663689,1,0,25.543439856452647
36,2.0,5.5414449303111875,4.947642536265799,2.3935677693908453,3,1,3.9908780953075644
36,5.0,3.8327352157528574,2.886751345948129,2.3935677693908453,3,0,1.534921497961985
36,10.0,4.0314214905008505,2.886751345948129,2.7003086243366083,6,0,1.534921497961985
36,20.0,4.523400956111973,2.886751345948129,3.38501600193165,10,0,1.4336795517364915
37,1.0,7.131810439255331,6.846531968814577,1.9094065395649333,3,0,14.565375611812811
37,2.0,6.420636873916608,5.907269532815761,2.3935677693908453,5,1,2.597893345763278
37,5.0,4.279576207762538,3.307189138830738,2.6020824993326657,6,1,1.3424167471229564
37,10.0,4.334437814211025,3.227486121839514,2.7950849718747373,7,1,1.2635121416893818
37,20.0,4.390606321278553,3.0618621784789726,3.0618621784789726,10,0,1.1399940058166929
38,1.0,6.949122952338282,6.73145600891813,1.613743060919757,2,0,7.70129933654021
38,2.0,6.949122952338282,6.73145600891813,1.613743060919757,2,0,7.70129933654021
38,5.0,4.1008904214247694,3.0618621784789726,2.6020824993326657,5,0,1.0373213100610166
38,10.0,4.225987330222382,3.0618621784789726,2.7950849718747373,6,0,1.0373213100610166
38,20.0,4.465680491093538,3.0618621784789726,3.1457643480294792,9,0,1.0373213100610166
39,1.0,7.201996054235774,6.959705453537527,1.7677669529663689,2,0,24.498750849275492
39,2.0,5.99639508674501,5.448623679425842,2.3935677693908453,4,1,1.5472576954519779
39,5.0,4.513885015977182,3.5355339059327378,2.7003086243366083,4,0,0.7090836362569748
39,10.0,4.627831522876562,3.5355339059327378,2.886751345948129,6,0,0.7090836362569748
39,20.0,4.847696147394484,3.5355339059327378,3.227486121839514,10,0,0.7090836362569748
40,1.0,6.987417594800941,6.73145600891813,1.7677669529663689,1,0,25.568000775286578
40,2.0,6.093557706587982,5.7282196186948,1.9094065395649333,2,0,1.8960860526745897
40,5.0,5.422920803818898,4.7871355387816905,2.3935677693908453,5,1,1.685230314762713
40,10.0,4.651837725302357,3.608439182435161,2.7950849718747373,7,0,1.4008831383225462
40,20.0,4.531631421314639,3.307189138830738,2.9755951785595207,9,0,1.6908252235412546
41,1.0,7.730478190435299,7.534642216677136,1.4433756729740645,4,1,19.79640156924666
41,2.0,7.730478190435299,7.534642216677136,1.4433756729740645,4,1,19.79640156924666
41,5.0,5.794625044974958,5.204164998665331,2.282177322938192,5,1,1.005410373043225
41,10.0,5.624321271611096,4.841229182759271,2.6020824993326657,11,2,0.8530410752094145
41,20.0,5.674373416198465,4.732423621500228,2.886751345948129,11,3,0.8886198036070443
42,1.0,7.149243051770746,6.922186552431729,1.613743060919757,2,0,5.297534423813267
42,2.0,4.311185782386506,3.5355339059327378,2.282177322938192,2,0,1.500127054171743
42,5.0,4.766364438113532,3.886407938787006,2.5,4,0,1.7516571336830404
42,10.0,5.032136387617092,3.886407938787006,2.9755951785595207,8,0,1.7516571336830404
42,20.0,5.302687691653376,4.08248290463863,3.227486121839514,14,1,1.4273186401993063
43,1.0,6.978765135181571,6.692657668420421,1.9094065395649333,1,0,25.50478248472283
43,2.0,7.015981481258284,6.692657668420421,2.041241452319315,2,0,18.525534685517062
43,5.0,3.923501189992329,2.9755951785595207,2.3935677693908453,5,0,1.2894350748384302
43,10.0,4.051863241339004,2.9755951785595207,2.6020824993326657,8,0,1.1232120057594943
43,20.0,4.361394546837157,2.9755951785595207,3.0618621784789726,12,0,1.1232120057594943
44,1.0,6.871520976065965,6.73145600891813,1.25,1,0,25.495097832492068
44,2.0,4.939474487452779,4.448782605013046,1.7677669529663689,4,1,1.3552951162523212
44,5.0,3.9983245777386247,3.307189138830738,2.041241452319315,3,0,1.2893397741309787
44,10.0,4.126531969537546,3.307189138830738,2.282177322938192,5,0,1.2893397741309787
44,20.0,4.295761011463709,3.307189138830738,2.6020824993326657,6,0,1.2874636511143924
45,1.0,6.7893262973862125,6.614378277661476,1.4433756729740645,1,0,25.502205043142784
45,2.0,3.978850055258483,3.38501600193165,1.9094065395649333,2,0,2.0775385128189074
