seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
108,16,6,fixed_broad_birth,3.927373162849153,2.282177322938192,3.1457643480294792
108,16,6,measurement_driven_birth,3.343964576537736,2.7003086243366083,1.9094065395649333
108,16,6,dp_delayed_recluster,3.435861910248095,2.5,2.282177322938192
109,6,16,fixed_broad_birth,5.429817861223593,3.307189138830738,4.08248290463863
109,6,16,measurement_driven_birth,5.232126030034491,4.208127057650866,2.9755951785595207
109,6,16,dp_delayed_recluster,4.776912012583771,3.5355339059327378,2.886751345948129
109,8,12,fixed_broad_birth,4.968858767718144,2.9755951785595207,3.886407938787006
109,8,12,measurement_driven_birth,4.999072841174823,4.018187817080398,2.886751345948129
109,8,12,dp_delayed_recluster,4.354658501703348,3.1457643480294792,2.886751345948129
109,12,8,fixed_broad_birth,4.569364091565605,2.886751345948129,3.4610932762158644
109,12,8,measurement_driven_birth,4.135377014268327,3.4610932762158644,2.165063509461097
109,12,8,dp_delayed_recluster,3.7636338960417186,2.886751345948129,2.282177322938192
109,16,6,fixed_broad_birth,3.8597919545942254,2.165063509461097,3.1457643480294792
109,16,6,measurement_driven_birth,3.65069995675213,2.6020824993326657,2.5
109,16,6,dp_delayed_recluster,3.212172177305728,2.041241452319315,2.3935677693908453
110,6,16,fixed_broad_birth,6.262542462550507,4.564354645876384,4.208127057650866
110,6,16,measurement_driven_birth,6.001295467150564,5.153882032022076,2.9755951785595207
110,6,16,dp_delayed_recluster,5.0134150172668095,4.14578098794425,2.7003086243366083
110,8,12,fixed_broad_birth,5.081859344596551,3.4610932762158644,3.608439182435161
110,8,12,measurement_driven_birth,4.696977428032744,3.952847075210474,2.3935677693908453
110,8,12,dp_delayed_recluster,4.83738683840952,3.952847075210474,2.6020824993326657
110,12,8,fixed_broad_birth,4.19658304328255,2.3935677693908453,3.38501600193165
110,12,8,measurement_driven_birth,4.127831649486556,3.1457643480294792,2.6020824993326657
110,12,8,dp_delayed_recluster,3.941915409894888,2.5,2.9755951785595207
110,16,6,fixed_broad_birth,3.810238818824068,2.6020824993326657,2.7003086243366083
110,16,6,measurement_driven_birth,3.73634708129538,3.307189138830738,1.613743060919757
110,16,6,dp_delayed_recluster,3.8106834291619713,2.9755951785595207,2.282177322938192
111,6,16,fixed_broad_birth,6.275591012777559,4.208127057650866,4.208127057650866
111,6,16,measurement_driven_birth,5.949361211376627,5.0518148554092255,2.6020824993326657
111,6,16,dp_delayed_recluster,5.189476663709296,3.952847075210474,2.886751345948129
111,8,12,fixed_broad_birth,5.219248882286931,3.1457643480294792,4.08248290463863
111,8,12,measurement_driven_birth,4.959349451162971,4.018187817080398,2.7950849718747373
111,8,12,dp_delayed_recluster,4.579923809739721,3.4610932762158644,2.886751345948129
111,12,8,fixed_broad_birth,4.369352647636608,2.282177322938192,3.679900360969936
111,12,8,measurement_driven_birth,3.6475576544966333,3.0618621784789726,1.9094065395649333
111,12,8,dp_delayed_recluster,3.2045082547001105,2.041241452319315,2.3935677693908453
111,16,6,fixed_broad_birth,4.623867194287428,2.5,3.679900360969936
111,16,6,measurement_driven_birth,3.3462978732047275,2.7950849718747373,1.7677669529663689
111,16,6,dp_delayed_recluster,3.678160770209007,2.041241452319315,2.886751345948129
112,6,16,fixed_broad_birth,5.329900833098626,3.8188130791298667,3.608439182435161
112,6,16,measurement_driven_birth,5.513321756450294,4.677071733467427,2.7950849718747373
112,6,16,dp_delayed_recluster,5.332926445914264,4.448782605013046,2.7950849718747373
112,8,12,fixed_broad_birth,5.269375356025348,4.018187817080398,3.307189138830738
112,8,12,measurement_driven_birth,5.359774641909374,4.7871355387816905,2.282177322938192
112,8,12,dp_delayed_recluster,5.325824727115165,4.564354645876384,2.6020824993326657
112,12,8,fixed_broad_birth,3.967185249030693,2.6020824993326657,2.886751345948129
112,12,8,measurement_driven_birth,3.657677009176248,3.227486121839514,1.613743060919757
112,12,8,dp_delayed_recluster,3.532657766121258,2.7950849718747373,2.041241452319315
112,16,6,fixed_broad_birth,4.123157837116652,2.6020824993326657,3.1457643480294792
112,16,6,measurement_driven_birth,3.7885944178818938,3.227486121839514,1.9094065395649333
112,16,6,dp_delayed_recluster,3.5941261348227673,2.3935677693908453,2.6020824993326657
113,6,16,fixed_broad_birth,5.558923580973798,4.448782605013046,3.0618621784789726
113,6,16,measurement_driven_birth,5.704168130580689,5.153882032022076,2.282177322938192
113,6,16,dp_delayed_recluster,4.759255860155736,3.886407938787006,2.5
113,8,12,fixed_broad_birth,5.063780710407319,3.1457643480294792,3.75
113,8,12,measurement_driven_birth,4.619729224598203,3.952847075210474,2.282177322938192
113,8,12,dp_delayed_recluster,4.079431530016087,3.0618621784789726,2.6020824993326657
113,12,8,fixed_broad_birth,5.038750410358561,2.7003086243366083,4.208127057650866
113,12,8,measurement_driven_birth,3.9974995660531234,3.307189138830738,2.165063509461097
113,12,8,dp_delayed_recluster,4.195935548804278,2.9755951785595207,2.886751345948129
113,16,6,fixed_broad_birth,3.9244912645002126,2.165063509461097,3.227486121839514
113,16,6,measurement_driven_birth,3.4248770777346014,2.7950849718747373,1.9094065395649333
113,16,6,dp_delayed_recluster,3.576052306536694,2.282177322938192,2.7003086243366083
114,6,16,fixed_broad_birth,5.945421014781615,3.608439182435161,4.621056877670591
114,6,16,measurement_driven_birth,5.760378946786791,4.732423621500228,2.9755951785595207
114,6,16,dp_delayed_recluster,4.916496726398708,3.679900360969936,3.1457643480294792
114,8,12,fixed_broad_birth,5.105637621040291,3.1457643480294792,3.8188130791298667
114,8,12,measurement_driven_birth,4.936862407250315,4.14578098794425,2.6020824993326657
114,8,12,dp_delayed_recluster,4.389867703284776,3.227486121839514,2.886751345948129
114,12,8,fixed_broad_birth,4.252794391901645,2.165063509461097,3.608439182435161
114,12,8,measurement_driven_birth,3.4341969009310547,2.9755951785595207,1.613743060919757
114,12,8,dp_delayed_recluster,3.4403220512565134,2.282177322938192,2.5
114,16,6,fixed_broad_birth,4.164210301447078,2.165063509461097,3.38501600193165
114,16,6,measurement_driven_birth,3.427298241883994,2.886751345948129,1.7677669529663689
114,16,6,dp_delayed_recluster,3.4301768055110373,2.282177322938192,2.5
115,6,16,fixed_broad_birth,4.9403594566142965,3.38501600193165,3.4610932762158644
