seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
32,16,6,fixed_broad_birth,3.9971828499802085,1.7677669529663689,3.5355339059327378
32,16,6,measurement_driven_birth,3.5805532282028105,2.5,2.5
32,16,6,dp_delayed_recluster,3.2101836448434518,1.9094065395649333,2.5
33,6,16,fixed_broad_birth,5.599341525795221,4.08248290463863,3.608439182435161
33,6,16,measurement_driven_birth,5.697297521780534,5.0518148554092255,2.5
33,6,16,dp_delayed_recluster,5.872844749090512,4.894725051862804,3.0618621784789726
33,8,12,fixed_broad_birth,5.222382769569555,3.5355339059327378,3.75
33,8,12,measurement_driven_birth,5.112882232088478,4.5069390943299865,2.282177322938192
33,8,12,dp_delayed_recluster,4.5936507481716236,3.5355339059327378,2.7950849718747373
33,12,8,fixed_broad_birth,4.329815076737752,2.7003086243366083,3.307189138830738
33,12,8,measurement_driven_birth,3.949527054980581,3.38501600193165,1.9094065395649333
33,12,8,dp_delayed_recluster,3.748720704947963,2.7950849718747373,2.3935677693908453
33,16,6,fixed_broad_birth,4.426339539734504,2.282177322938192,3.75
33,16,6,measurement_driven_birth,3.5761100229241065,2.7950849718747373,2.165063509461097
33,16,6,dp_delayed_recluster,3.9378281814186344,2.3935677693908453,3.0618621784789726
34,6,16,fixed_broad_birth,5.1385529560048075,3.38501600193165,3.75
34,6,16,measurement_driven_birth,5.128390182080972,4.330127018922194,2.6020824993326657
34,6,16,dp_delayed_recluster,4.5968510473231365,3.38501600193165,2.9755951785595207
34,8,12,fixed_broad_birth,5.163995678041568,3.679900360969936,3.5355339059327378
34,8,12,measurement_driven_birth,5.2436273892078935,4.677071733467427,2.282177322938192
34,8,12,dp_delayed_recluster,4.407303322917714,3.5355339059327378,2.5
34,12,8,fixed_broad_birth,4.87994881105595,2.6020824993326657,4.08248290463863
34,12,8,measurement_driven_birth,4.118344076540375,3.5355339059327378,2.041241452319315
34,12,8,dp_delayed_recluster,3.6369040210924144,2.5,2.5
34,16,6,fixed_broad_birth,4.4966896208548714,2.3935677693908453,3.75
34,16,6,measurement_driven_birth,3.494724152547247,2.7003086243366083,2.165063509461097
34,16,6,dp_delayed_recluster,4.073031108047432,2.9755951785595207,2.7003086243366083
35,6,16,fixed_broad_birth,5.080998622361167,3.5355339059327378,3.5355339059327378
35,6,16,measurement_driven_birth,5.324302255341462,4.5069390943299865,2.7003086243366083
35,6,16,dp_delayed_recluster,4.655275530007021,3.679900360969936,2.7003086243366083
35,8,12,fixed_broad_birth,4.901293288342494,3.1457643480294792,3.679900360969936
35,8,12,measurement_driven_birth,4.554906998488987,3.952847075210474,2.165063509461097
35,8,12,dp_delayed_recluster,4.3265036817992995,3.1457643480294792,2.886751345948129
35,12,8,fixed_broad_birth,4.8822428878765995,3.307189138830738,3.5355339059327378
35,12,8,measurement_driven_birth,4.307134114500877,3.608439182435161,2.282177322938192
35,12,8,dp_delayed_recluster,3.933323157508383,2.886751345948129,2.6020824993326657
35,16,6,fixed_broad_birth,4.240665546394577,2.6020824993326657,3.307189138830738
35,16,6,measurement_driven_birth,3.6379094171930286,2.9755951785595207,2.041241452319315
35,16,6,dp_delayed_recluster,3.263541966563655,2.282177322938192,2.282177322938192
36,6,16,fixed_broad_birth,5.431518677114336,3.679900360969936,3.886407938787006
36,6,16,measurement_driven_birth,5.374093116486432,4.732423621500228,2.3935677693908453
36,6,16,dp_delayed_recluster,4.531948558214517,3.38501600193165,2.886751345948129
36,8,12,fixed_broad_birth,4.853593462402486,2.9755951785595207,3.75
36,8,12,measurement_driven_birth,4.569160167312643,3.8188130791298667,2.3935677693908453
36,8,12,dp_delayed_recluster,4.0314214905008505,2.886751345948129,2.7003086243366083
36,12,8,fixed_broad_birth,4.320557701810056,2.3935677693908453,3.5355339059327378
36,12,8,measurement_driven_birth,4.062218473656153,3.0618621784789726,2.6020824993326657
36,12,8,dp_delayed_recluster,3.392365440484041,2.165063509461097,2.5
36,16,6,fixed_broad_birth,4.36647138662618,2.282177322938192,3.5355339059327378
36,16,6,measurement_driven_birth,3.7874773145290654,2.9755951785595207,2.282177322938192
36,16,6,dp_delayed_recluster,3.588567819400898,2.165063509461097,2.6020824993326657
37,6,16,fixed_broad_birth,5.486297414075395,3.952847075210474,3.679900360969936
37,6,16,measurement_driven_birth,5.510965216262582,4.732423621500228,2.7003086243366083
37,6,16,dp_delayed_recluster,4.710748034715038,3.679900360969936,2.7950849718747373
37,8,12,fixed_broad_birth,4.6253224033035,3.1457643480294792,3.307189138830738
37,8,12,measurement_driven_birth,4.560793455092164,3.886407938787006,2.282177322938192
37,8,12,dp_delayed_recluster,4.334437814211025,3.227486121839514,2.7950849718747373
37,12,8,fixed_broad_birth,4.456667380962009,2.6020824993326657,3.5355339059327378
37,12,8,measurement_driven_birth,4.0017390170290215,3.307189138830738,2.165063509461097
37,12,8,dp_delayed_recluster,3.901754449237902,3.0618621784789726,2.282177322938192
37,16,6,fixed_broad_birth,4.26075304426187,2.282177322938192,3.5355339059327378
37,16,6,measurement_driven_birth,3.286929282162672,2.6020824993326657,1.9094065395649333
37,16,6,dp_delayed_recluster,3.8692595580284466,2.7950849718747373,2.6020824993326657
38,6,16,fixed_broad_birth,6.035714190169587,4.08248290463863,4.14578098794425
38,6,16,measurement_driven_birth,6.113772677184041,5.204164998665331,2.7950849718747373
38,6,16,dp_delayed_recluster,5.102092250770411,3.8188130791298667,3.227486121839514
38,8,12,fixed_broad_birth,4.842375587415957,3.38501600193165,3.38501600193165
38,8,12,measurement_driven_birth,4.733789007773005,4.08248290463863,2.282177322938192
38,8,12,dp_delayed_recluster,4.225987330222382,3.0618621784789726,2.7950849718747373
38,12,8,fixed_broad_birth,4.840385663469443,3.307189138830738,3.4610932762158644
38,12,8,measurement_driven_birth,4.324921138385209,3.608439182435161,2.282177322938192
38,12,8,dp_delayed_recluster,4.45982472066124,3.5355339059327378,2.6020824993326657
38,16,6,fixed_broad_birth,3.9340907607926408,2.7003086243366083,2.7950849718747373
38,16,6,measurement_driven_birth,3.9290666187893852,3.4610932762158644,1.7677669529663689
38,16,6,dp_delayed_recluster,3.6104895584299626,2.3935677693908453,2.6020824993326657
39,6,16,fixed_broad_birth,5.358344333005107,3.5355339059327378,3.886407938787006
39,6,16,measurement_driven_birth,5.277791358370996,4.330127018922194,2.886751345948129
39,6,16,dp_delayed_recluster,4.362067035548536,2.9755951785595207,3.0618621784789726
39,8,12,fixed_broad_birth,5.104063496838836,3.5355339059327378,3.608439182435161
39,8,12,measurement_driven_birth,5.290213824075288,4.564354645876384,2.6020824993326657
39,8,12,dp_delayed_recluster,4.627831522876562,3.5355339059327378,2.886751345948129
39,12,8,fixed_broad_birth,4.260862598491201,2.5,3.38501600193165
39,12,8,measurement_driven_birth,3.8715151416958524,3.0618621784789726,2.282177322938192
39,12,8,dp_delayed_recluster,3.7437173161044988,2.6020824993326657,2.6020824993326657
39,16,6,fixed_broad_birth,4.064170107772892,2.7003086243366083,2.9755951785595207
39,16,6,measurement_driven_birth,3.9332572450745515,3.307189138830738,2.041241452319315
39,16,6,dp_delayed_recluster,3.7286958447483114,2.7003086243366083,2.5
40,6,16,fixed_broad_birth,5.072495410411663,3.38501600193165,3.5355339059327378
40,6,16,measurement_driven_birth,5.354982861367567,4.389855730355308,2.7950849718747373
40,6,16,dp_delayed_recluster,5.408066876348596,4.330127018922194,2.9755951785595207
40,8,12,fixed_broad_birth,4.919407585033145,3.38501600193165,3.4610932762158644
40,8,12,measurement_driven_birth,5.219197734195846,4.564354645876384,2.3935677693908453
40,8,12,dp_delayed_recluster,4.651837725302357,3.608439182435161,2.7950849718747373
40,12,8,fixed_broad_birth,3.857360737147122,2.7950849718747373,2.6020824993326657
40,12,8,measurement_driven_birth,4.178567483709359,3.5355339059327378,2.165063509461097
40,12,8,dp_delayed_recluster,3.7947119897059745,3.1457643480294792,2.041241452319315
40,16,6,fixed_broad_birth,3.7913951945314035,2.5,2.7950849718747373
40,16,6,measurement_driven_birth,3.3476535672629733,2.6020824993326657,2.041241452319315
40,16,6,dp_delayed_recluster,3.359716906751602,2.165063509461097,2.5
41,6,16,fixed_broad_birth,5.512342520148058,3.75,3.8188130791298667
41,6,16,measurement_driven_birth,5.572910227938518,4.894725051862804,2.5
41,6,16,dp_delayed_recluster,4.668780093776328,3.75,2.6020824993326657
41,8,12,fixed_broad_birth,5.115558445766913,3.75,3.307189138830738
41,8,12,measurement_driven_birth,5.588308568750874,4.841229182759271,2.7003086243366083
41,8,12,dp_delayed_recluster,5.624321271611096,4.841229182759271,2.6020824993326657
41,12,8,fixed_broad_birth,4.185916400290336,2.5,3.227486121839514
41,12,8,measurement_driven_birth,3.9972758862982705,3.38501600193165,2.041241452319315
41,12,8,dp_delayed_recluster,3.7993940892529574,3.0618621784789726,2.041241452319315
41,16,6,fixed_broad_birth,4.059087981454385,2.5,3.1457643480294792
41,16,6,measurement_driven_birth,3.416197561136263,2.9755951785595207,1.613743060919757
41,16,6,dp_delayed_recluster,3.574177293552785,2.6020824993326657,2.3935677693908453
42,6,16,fixed_broad_birth,5.795027294536487,3.75,4.330127018922194
42,6,16,measurement_driven_birth,5.648594974559675,4.621056877670591,3.1457643480294792
42,6,16,dp_delayed_recluster,5.1907760349058485,3.8188130791298667,3.38501600193165
42,8,12,fixed_broad_birth,5.527263917727484,3.5355339059327378,4.14578098794425
42,8,12,measurement_driven_birth,5.176453739639987,4.389855730355308,2.6020824993326657
42,8,12,dp_delayed_recluster,5.032136387617092,3.886407938787006,2.9755951785595207
42,12,8,fixed_broad_birth,4.166386102284246,2.7950849718747373,2.9755951785595207
42,12,8,measurement_driven_birth,3.938271216331214,3.5355339059327378,1.613743060919757
42,12,8,dp_delayed_recluster,4.645431856191425,3.886407938787006,2.3935677693908453
42,16,6,fixed_broad_birth,4.1948122830781305,2.5,3.307189138830738
42,16,6,measurement_driven_birth,3.8011036636979734,3.0618621784789726,2.165063509461097
42,16,6,dp_delayed_recluster,3.8768501223954748,2.6020824993326657,2.7950849718747373
43,6,16,fixed_broad_birth,5.435160221882514,3.75,3.8188130791298667
43,6,16,measurement_driven_birth,5.327099349266029,4.621056877670591,2.5
43,6,16,dp_delayed_recluster,5.002444562647258,3.952847075210474,2.886751345948129
43,8,12,fixed_broad_birth,4.710582402755148,3.0618621784789726,3.4610932762158644
43,8,12,measurement_driven_birth,4.451522292132586,3.75,2.282177322938192
43,8,12,dp_delayed_recluster,4.051863241339004,2.9755951785595207,2.6020824993326657
43,12,8,fixed_broad_birth,4.49149732067761,3.1457643480294792,3.1457643480294792
43,12,8,measurement_driven_birth,4.307383307134328,3.679900360969936,2.165063509461097
43,12,8,dp_delayed_recluster,4.070019340666018,3.0618621784789726,2.6020824993326657
43,16,6,fixed_broad_birth,3.5008821916298607,2.3935677693908453,2.5
43,16,6,measurement_driven_birth,3.417592755101992,2.9755951785595207,1.613743060919757
43,16,6,dp_delayed_recluster,3.4994302481190207,2.5,2.3935677693908453
44,6,16,fixed_broad_birth,5.386864642473675,3.8188130791298667,3.679900360969936
44,6,16,measurement_driven_birth,5.61826109557466,4.677071733467427,2.9755951785595207
44,6,16,dp_delayed_recluster,5.214252075598735,3.952847075210474,3.227486121839514
44,8,12,fixed_broad_birth,4.901121656362255,3.307189138830738,3.5355339059327378
44,8,12,measurement_driven_birth,4.887716238314962,4.330127018922194,2.165063509461097
44,8,12,dp_delayed_recluster,4.126531969537546,3.307189138830738,2.282177322938192
44,12,8,fixed_broad_birth,4.481750829825014,2.9755951785595207,3.307189138830738
44,12,8,measurement_driven_birth,4.175309961356994,3.679900360969936,1.9094065395649333
44,12,8,dp_delayed_recluster,3.7218751259834573,2.7950849718747373,2.3935677693908453
44,16,6,fixed_broad_birth,4.02064066537252,2.041241452319315,3.38501600193165
44,16,6,measurement_driven_birth,3.5696210508297157,2.9755951785595207,1.9094065395649333
44,16,6,dp_delayed_recluster,3.5800242678246925,2.041241452319315,2.886751345948129
45,6,16,fixed_broad_birth,5.467537545462264,3.307189138830738,4.08248290463863
45,6,16,measurement_driven_birth,5.532339468663718,4.5069390943299865,2.9755951785595207
45,6,16,dp_delayed_recluster,4.963093279128146,3.608439182435161,3.0618621784789726
45,8,12,fixed_broad_birth,4.420484499088144,3.307189138830738,2.7950849718747373
45,8,12,measurement_driven_birth,4.355074555503561,3.886407938787006,1.7677669529663689
45,8,12,dp_delayed_recluster,3.6270343327471957,2.7950849718747373,2.165063509461097
45,12,8,fixed_broad_birth,4.378792225873088,2.3935677693908453,3.5355339059327378
45,12,8,measurement_driven_birth,3.8641653725508007,3.1457643480294792,2.165063509461097
45,12,8,dp_delayed_recluster,3.5231862149506497,2.3935677693908453,2.5
45,16,6,fixed_broad_birth,3.7935755715144426,2.5,2.7950849718747373
45,16,6,measurement_driven_birth,3.26975830346188,2.7950849718747373,1.613743060919757
45,16,6,dp_delayed_recluster,3.5272558748339455,2.5,2.3935677693908453
46,6,16,fixed_broad_birth,5.465858205295704,4.08248290463863,3.38501600193165
46,6,16,measurement_driven_birth,5.5965706204182135,4.894725051862804,2.6020824993326657
46,6,16,dp_delayed_recluster,4.908240519486626,3.886407938787006,2.7003086243366083
46,8,12,fixed_broad_birth,4.829341862879902,3.0618621784789726,3.5355339059327378
46,8,12,measurement_driven_birth,4.910813763585295,4.14578098794425,2.5
46,8,12,dp_delayed_recluster,3.962699072418088,2.9755951785595207,2.5
46,12,8,fixed_broad_birth,3.9346230350425055,2.5,2.9755951785595207
46,12,8,measurement_driven_birth,3.9281594636013475,3.4610932762158644,1.7677669529663689
46,12,8,dp_delayed_recluster,3.51220220533376,2.7003086243366083,2.165063509461097
46,16,6,fixed_broad_birth,3.7196293605112265,2.041241452319315,3.0618621784789726
46,16,6,measurement_driven_birth,3.3419727301963125,2.7003086243366083,1.9094065395649333
46,16,6,dp_delayed_recluster,3.430405928198541,2.165063509461097,2.6020824993326657
47,6,16,fixed_broad_birth,6.094085213251294,4.389855730355308,4.018187817080398
47,6,16,measurement_driven_birth,5.950733172937714,5.103103630798288,2.7950849718747373
47,6,16,dp_delayed_recluster,5.236111960481256,4.018187817080398,3.227486121839514
47,8,12,fixed_broad_birth,4.3255490754400725,2.7003086243366083,3.1457643480294792
47,8,12,measurement_driven_birth,4.577925949648676,3.679900360969936,2.6020824993326657
47,8,12,dp_delayed_recluster,4.119236667463214,2.9755951785595207,2.7003086243366083
47,12,8,fixed_broad_birth,4.486217246509551,3.4610932762158644,2.7950849718747373
47,12,8,measurement_driven_birth,4.426735320266371,4.018187817080398,1.7677669529663689
47,12,8,dp_delayed_recluster,4.654118057377615,3.952847075210474,2.3935677693908453
47,16,6,fixed_broad_birth,4.418232333973153,2.5,3.608439182435161
47,16,6,measurement_driven_birth,3.5649787867743585,3.0618621784789726,1.7677669529663689
47,16,6,dp_delayed_recluster,3.7778122114318915,2.5,2.7950849718747373
48,6,16,fixed_broad_birth,5.44328325680681,3.952847075210474,3.608439182435161
48,6,16,measurement_driven_birth,6.022655114697863,5.153882032022076,2.9755951785595207
48,6,16,dp_delayed_recluster,4.937410498964405,3.8188130791298667,2.9755951785595207
